ID;GebruikVanGeweld;SoortDiefstal;RegioS;Perioden;TotaalGeregistreerdeDiefstallen_1;GeregistreerdeDiefstallenPer1000Inw_3
174646;A048105;CRI1125;GM1669;2020JJ00;0;     0.0
174647;A048105;CRI1125;GM1669;2021JJ00;0;     0.0
174656;A048105;CRI1125;GM0957;2018JJ00;0;     0.0
174657;A048105;CRI1125;GM0957;2019JJ00;0;     0.0
174658;A048105;CRI1125;GM0957;2020JJ00;0;     0.0
174659;A048105;CRI1125;GM0957;2021JJ00;0;     0.0
174668;A048105;CRI1125;GM0736;2018JJ00;0;     0.0
174669;A048105;CRI1125;GM0736;2019JJ00;0;     0.0
174670;A048105;CRI1125;GM0736;2020JJ00;0;     0.0
174671;A048105;CRI1125;GM0736;2021JJ00;0;     0.0
174680;A048105;CRI1125;GM1674;2018JJ00;0;     0.0
174681;A048105;CRI1125;GM1674;2019JJ00;0;     0.0
174682;A048105;CRI1125;GM1674;2020JJ00;0;     0.0
174683;A048105;CRI1125;GM1674;2021JJ00;0;     0.0
174692;A048105;CRI1125;GM0599;2018JJ00;10;       .
174693;A048105;CRI1125;GM0599;2019JJ00;10;       .
174694;A048105;CRI1125;GM0599;2020JJ00;15;       .
174695;A048105;CRI1125;GM0599;2021JJ00;5;       .
174704;A048105;CRI1125;GM0600;2018JJ00;;
174705;A048105;CRI1125;GM0600;2019JJ00;;
174706;A048105;CRI1125;GM0600;2020JJ00;;
174707;A048105;CRI1125;GM0600;2021JJ00;;
174716;A048105;CRI1125;GM0277;2018JJ00;0;     0.0
174717;A048105;CRI1125;GM0277;2019JJ00;0;     0.0
174718;A048105;CRI1125;GM0277;2020JJ00;0;     0.0
174719;A048105;CRI1125;GM0277;2021JJ00;0;     0.0
174728;A048105;CRI1125;GM0840;2018JJ00;0;     0.0
174729;A048105;CRI1125;GM0840;2019JJ00;0;     0.0
174730;A048105;CRI1125;GM0840;2020JJ00;0;     0.0
174731;A048105;CRI1125;GM0840;2021JJ00;0;     0.0
174740;A048105;CRI1125;GM0441;2018JJ00;0;     0.0
174741;A048105;CRI1125;GM0441;2019JJ00;0;     0.0
174742;A048105;CRI1125;GM0441;2020JJ00;0;     0.0
174743;A048105;CRI1125;GM0441;2021JJ00;0;     0.0
174752;A048105;CRI1125;GM0458;2018JJ00;;
174753;A048105;CRI1125;GM0458;2019JJ00;;
174754;A048105;CRI1125;GM0458;2020JJ00;;
174755;A048105;CRI1125;GM0458;2021JJ00;;
174764;A048105;CRI1125;GM0279;2018JJ00;0;     0.0
174765;A048105;CRI1125;GM0279;2019JJ00;5;       .
174766;A048105;CRI1125;GM0279;2020JJ00;0;     0.0
174767;A048105;CRI1125;GM0279;2021JJ00;0;     0.0
174776;A048105;CRI1125;GM0606;2018JJ00;5;       .
174777;A048105;CRI1125;GM0606;2019JJ00;0;     0.0
174778;A048105;CRI1125;GM0606;2020JJ00;0;     0.0
174779;A048105;CRI1125;GM0606;2021JJ00;0;     0.0
174788;A048105;CRI1125;GM0088;2018JJ00;0;     0.0
174789;A048105;CRI1125;GM0088;2019JJ00;0;     0.0
174790;A048105;CRI1125;GM0088;2020JJ00;0;     0.0
174791;A048105;CRI1125;GM0088;2021JJ00;0;     0.0
174800;A048105;CRI1125;GM0844;2018JJ00;;
174801;A048105;CRI1125;GM0844;2019JJ00;;
174802;A048105;CRI1125;GM0844;2020JJ00;;
174803;A048105;CRI1125;GM0844;2021JJ00;;
174812;A048105;CRI1125;GM0962;2018JJ00;0;     0.0
174813;A048105;CRI1125;GM0962;2019JJ00;;
174814;A048105;CRI1125;GM0962;2020JJ00;;
174815;A048105;CRI1125;GM0962;2021JJ00;;
174824;A048105;CRI1125;GM0608;2018JJ00;;
174825;A048105;CRI1125;GM0608;2019JJ00;;
174826;A048105;CRI1125;GM0608;2020JJ00;;
174827;A048105;CRI1125;GM0608;2021JJ00;;
174836;A048105;CRI1125;GM1676;2018JJ00;0;     0.0
174837;A048105;CRI1125;GM1676;2019JJ00;0;     0.0
174838;A048105;CRI1125;GM1676;2020JJ00;0;     0.0
174839;A048105;CRI1125;GM1676;2021JJ00;0;     0.0
174848;A048105;CRI1125;GM0965;2018JJ00;0;     0.0
174849;A048105;CRI1125;GM0965;2019JJ00;0;     0.0
174850;A048105;CRI1125;GM0965;2020JJ00;0;     0.0
174851;A048105;CRI1125;GM0965;2021JJ00;0;     0.0
174860;A048105;CRI1125;GM1702;2018JJ00;0;     0.0
174861;A048105;CRI1125;GM1702;2019JJ00;0;     0.0
174862;A048105;CRI1125;GM1702;2020JJ00;0;     0.0
174863;A048105;CRI1125;GM1702;2021JJ00;0;     0.0
174872;A048105;CRI1125;GM0845;2018JJ00;0;     0.0
174873;A048105;CRI1125;GM0845;2019JJ00;0;     0.0
174874;A048105;CRI1125;GM0845;2020JJ00;0;     0.0
174875;A048105;CRI1125;GM0845;2021JJ00;0;     0.0
174884;A048105;CRI1125;GM0846;2018JJ00;;
174885;A048105;CRI1125;GM0846;2019JJ00;;
174886;A048105;CRI1125;GM0846;2020JJ00;;
174887;A048105;CRI1125;GM0846;2021JJ00;;
174896;A048105;CRI1125;GM1883;2018JJ00;0;     0.0
174897;A048105;CRI1125;GM1883;2019JJ00;0;     0.0
174898;A048105;CRI1125;GM1883;2020JJ00;0;     0.0
174899;A048105;CRI1125;GM1883;2021JJ00;0;     0.0
174908;A048105;CRI1125;GM0051;2018JJ00;;
174909;A048105;CRI1125;GM0051;2019JJ00;;
174910;A048105;CRI1125;GM0051;2020JJ00;;
174911;A048105;CRI1125;GM0051;2021JJ00;;
